user_id,age,gender,location,interests,ad_id,ad_category,ad_platform,ad_type,impressions,clicks,conversion,time_spent_on_ad,day_of_week,device_type,engagement_score,ctr,cvr,age_group,conversion_rate,engagement_rate
U0001,58,M,USA,Food,A0001,Sportswear,Facebook,Image,3,0,0,3.38,Friday,Mobile,0.02,0.0,0.0,55-64,0.0,0.6666666666666667
U0002,55,F,USA,Tech,A0002,Electronics,Facebook,Image,9,9,1,6.77,Saturday,Tablet,0.93,100.0,11.11111111111111,55-64,11.11111111111111,10.333333333333334
U0003,52,F,UK,Gaming,A0003,Luggage,Instagram,Image,13,12,1,13.26,Wednesday,Mobile,0.93,92.3076923076923,8.333333333333332,45-54,8.333333333333332,7.153846153846153
U0004,31,F,USA,Tech,A0004,Gadgets,Facebook,Video,14,5,0,24.41,Saturday,Desktop,0.28,35.714285714285715,0.0,25-34,0.0,2.0
U0005,52,M,India,Tech,A0005,Luggage,Instagram,Carousel,10,5,0,21.43,Monday,Tablet,0.35,50.0,0.0,45-54,0.0,3.4999999999999996
U0006,32,F,USA,Fashion,A0006,Electronics,Instagram,Video,8,5,1,11.3,Saturday,Desktop,0.77,62.5,20.0,25-34,20.0,9.625
U0007,59,M,Germany,Food,A0007,Apparel,Facebook,Image,8,6,1,27.84,Saturday,Tablet,0.88,75.0,16.666666666666664,55-64,16.666666666666664,11.0
U0008,32,Other,Canada,Tech,A0008,Apparel,Facebook,Video,7,4,1,27.48,Friday,Tablet,0.79,57.14285714285714,25.0,25-34,25.0,11.285714285714286
U0009,38,M,Australia,Gaming,A0009,Gadgets,Instagram,Image,5,1,1,17.28,Wednesday,Tablet,0.59,20.0,100.0,35-44,100.0,11.799999999999999
U0010,55,F,Germany,Gaming,A0010,Sportswear,Facebook,Image,9,7,1,2.37,Monday,Mobile,0.8,77.77777777777779,14.285714285714285,55-64,14.285714285714285,8.88888888888889
U0011,58,M,Australia,Gaming,A0011,Luggage,Facebook,Video,7,7,0,29.16,Sunday,Mobile,0.6,100.0,0.0,55-64,0.0,8.571428571428571
U0012,25,Other,Germany,Fitness,A0012,Food & Beverage,Instagram,Image,5,3,1,1.09,Saturday,Tablet,0.71,60.0,33.33333333333333,25-34,33.33333333333333,14.2
U0013,34,Other,UK,Travel,A0013,Electronics,Instagram,Carousel,9,9,1,11.84,Tuesday,Tablet,0.96,100.0,11.11111111111111,25-34,11.11111111111111,10.666666666666666
U0014,51,M,Germany,Fitness,A0014,Gadgets,Facebook,Image,15,11,0,25.12,Wednesday,Mobile,0.47,73.33333333333333,0.0,45-54,0.0,3.1333333333333333
U0015,21,M,Germany,Tech,A0015,Electronics,Instagram,Image,13,8,0,4.72,Thursday,Tablet,0.33,61.53846153846154,0.0,18-24,0.0,2.5384615384615388
U0016,28,F,Germany,Travel,A0016,Gadgets,Facebook,Carousel,13,11,0,21.68,Thursday,Tablet,0.52,84.61538461538461,0.0,25-34,0.0,4.0
U0017,59,F,India,Travel,A0017,Gadgets,Facebook,Image,4,0,0,1.69,Friday,Tablet,0.01,0.0,0.0,55-64,0.0,0.25
U0018,32,Other,UK,Tech,A0018,Electronics,Facebook,Image,2,0,0,4.3,Monday,Tablet,0.02,0.0,0.0,25-34,0.0,1.0
U0019,33,F,Australia,Gaming,A0019,Apparel,Facebook,Carousel,15,15,1,14.72,Thursday,Mobile,0.97,100.0,6.666666666666667,25-34,6.666666666666667,6.466666666666667
U0020,24,M,Australia,Gaming,A0020,Sportswear,Instagram,Video,8,0,0,3.37,Saturday,Mobile,0.02,0.0,0.0,18-24,0.0,0.25
U0021,21,F,Australia,Fitness,A0021,Electronics,Facebook,Image,4,4,1,13.23,Wednesday,Desktop,0.97,100.0,25.0,18-24,25.0,24.25
U0022,33,M,India,Travel,A0022,Electronics,Facebook,Carousel,9,0,0,4.84,Sunday,Mobile,0.02,0.0,0.0,25-34,0.0,0.2222222222222222
U0023,28,F,India,Gaming,A0023,Apparel,Instagram,Image,3,3,1,12.32,Sunday,Desktop,0.96,100.0,33.33333333333333,25-34,33.33333333333333,32.0
U0024,36,F,Australia,Food,A0024,Luggage,Instagram,Image,4,2,1,2.7,Saturday,Tablet,0.66,50.0,50.0,35-44,50.0,16.5
U0025,21,Other,Canada,Tech,A0025,Electronics,Instagram,Carousel,15,5,1,15.73,Sunday,Mobile,0.65,33.33333333333333,20.0,18-24,20.0,4.333333333333334
U0026,22,Other,USA,Food,A0026,Apparel,Instagram,Image,15,7,0,2.15,Monday,Desktop,0.24,46.666666666666664,0.0,18-24,0.0,1.6
U0027,60,Other,Germany,Travel,A0027,Sportswear,Instagram,Image,11,11,1,8.7,Tuesday,Tablet,0.94,100.0,9.090909090909092,55-64,9.090909090909092,8.545454545454545
U0028,59,F,India,Fitness,A0028,Electronics,Facebook,Video,10,9,0,3.12,Tuesday,Tablet,0.47,90.0,0.0,55-64,0.0,4.7
U0029,34,M,Canada,Tech,A0029,Apparel,Instagram,Video,3,3,0,21.4,Friday,Tablet,0.6,100.0,0.0,25-34,0.0,20.0
U0030,51,M,Australia,Travel,A0030,Sportswear,Facebook,Image,5,0,0,4.45,Saturday,Tablet,0.02,0.0,0.0,45-54,0.0,0.4
U0031,27,F,Canada,Travel,A0031,Apparel,Instagram,Image,11,10,0,15.66,Wednesday,Mobile,0.53,90.9090909090909,0.0,25-34,0.0,4.818181818181818
U0032,23,Other,India,Fitness,A0032,Electronics,Facebook,Video,13,2,0,8.6,Saturday,Desktop,0.12,15.384615384615385,0.0,18-24,0.0,0.923076923076923
U0033,53,Other,India,Travel,A0033,Electronics,Facebook,Image,15,4,0,25.2,Friday,Tablet,0.23,26.666666666666668,0.0,45-54,0.0,1.5333333333333334
U0034,27,F,UK,Tech,A0034,Sportswear,Instagram,Image,15,11,1,8.24,Monday,Desktop,0.81,73.33333333333333,9.090909090909092,25-34,9.090909090909092,5.4
U0035,53,F,Germany,Food,A0035,Apparel,Facebook,Image,13,12,1,12.96,Tuesday,Tablet,0.93,92.3076923076923,8.333333333333332,45-54,8.333333333333332,7.153846153846153
U0036,39,F,Australia,Food,A0036,Apparel,Instagram,Image,13,11,1,26.29,Sunday,Desktop,0.92,84.61538461538461,9.090909090909092,35-44,9.090909090909092,7.0769230769230775
U0037,32,M,India,Fitness,A0037,Sportswear,Facebook,Image,1,0,0,1.99,Wednesday,Mobile,0.01,0.0,0.0,25-34,0.0,1.0
U0038,35,F,Australia,Travel,A0038,Gadgets,Instagram,Image,2,1,1,28.91,Wednesday,Mobile,0.75,50.0,100.0,35-44,100.0,37.5
U0039,24,Other,India,Fitness,A0039,Food & Beverage,Instagram,Video,10,8,1,27.09,Tuesday,Desktop,0.9,80.0,12.5,18-24,12.5,9.0
U0040,20,Other,India,Tech,A0040,Luggage,Facebook,Video,7,1,0,27.7,Friday,Desktop,0.17,14.285714285714285,0.0,18-24,0.0,2.428571428571429
U0041,60,M,Australia,Fitness,A0041,Luggage,Instagram,Carousel,7,5,1,9.57,Tuesday,Mobile,0.8,71.42857142857143,20.0,55-64,20.0,11.428571428571429
U0042,44,Other,India,Food,A0042,Food & Beverage,Facebook,Carousel,10,4,1,25.18,Wednesday,Desktop,0.7,40.0,25.0,35-44,25.0,6.999999999999999
U0043,31,F,Germany,Travel,A0043,Food & Beverage,Instagram,Video,8,7,0,15.82,Sunday,Tablet,0.52,87.5,0.0,25-34,0.0,6.5
U0044,28,Other,USA,Fitness,A0044,Luggage,Instagram,Image,14,12,1,10.0,Sunday,Mobile,0.88,85.71428571428571,8.333333333333332,25-34,8.333333333333332,6.2857142857142865
U0045,27,M,USA,Fashion,A0045,Gadgets,Facebook,Video,7,3,0,12.14,Thursday,Mobile,0.27,42.857142857142854,0.0,25-34,0.0,3.8571428571428577
U0046,27,Other,Australia,Tech,A0046,Electronics,Instagram,Image,3,3,1,8.23,Sunday,Mobile,0.94,100.0,33.33333333333333,25-34,33.33333333333333,31.33333333333333
U0047,47,M,India,Food,A0047,Luggage,Instagram,Video,10,8,1,27.3,Thursday,Mobile,0.9,80.0,12.5,45-54,12.5,9.0
U0048,48,F,Canada,Fashion,A0048,Food & Beverage,Instagram,Carousel,8,3,1,3.25,Wednesday,Mobile,0.6,37.5,33.33333333333333,45-54,33.33333333333333,7.5
U0049,35,F,Canada,Travel,A0049,Electronics,Facebook,Image,4,3,0,21.49,Monday,Desktop,0.47,75.0,0.0,35-44,0.0,11.75
U0050,44,F,Germany,Gaming,A0050,Gadgets,Facebook,Image,14,6,1,23.32,Saturday,Mobile,0.71,42.857142857142854,16.666666666666664,35-44,16.666666666666664,5.071428571428571
U0051,54,F,India,Tech,A0001,Sportswear,Instagram,Video,14,14,0,13.15,Saturday,Tablet,0.57,100.0,0.0,45-54,0.0,4.071428571428571
U0052,52,Other,UK,Gaming,A0002,Apparel,Instagram,Video,8,0,0,1.94,Saturday,Tablet,0.01,0.0,0.0,45-54,0.0,0.125
U0053,43,Other,UK,Gaming,A0003,Apparel,Facebook,Video,10,9,0,3.43,Thursday,Mobile,0.47,90.0,0.0,35-44,0.0,4.7
U0054,47,M,USA,Fitness,A0004,Gadgets,Instagram,Image,8,5,1,26.51,Wednesday,Desktop,0.81,62.5,20.0,45-54,20.0,10.125
U0055,34,M,India,Tech,A0005,Food & Beverage,Facebook,Video,4,0,0,3.91,Saturday,Mobile,0.02,0.0,0.0,25-34,0.0,0.5
U0056,19,M,UK,Tech,A0006,Luggage,Facebook,Image,3,3,0,17.36,Tuesday,Desktop,0.59,100.0,0.0,18-24,0.0,19.666666666666664
